model,scenario,region,variable,unit,mode,technology,fuel,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,,,ttw_pm2.5,kt PM2.5/yr,Bus,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Domestic Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Domestic Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,Coal,Coal,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,Electric,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,International Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,International Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Passenger Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Passenger Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_pm2.5,kt PM2.5/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,PHEV,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Aviation,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,PHEV,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Domestic Shipping,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,vkt,bn vkm/yr,Freight Rail,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,PHEV,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,International Shipping,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,PHEV,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Passenger Rail,Liquids,Total Liquids,,,,,,,,,,,
,,,vkt,bn vkm/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,vkt,bn vkm/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,vkt,bn vkm/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,PHEV,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,PHEV,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Aviation,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Aviation,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,PHEV,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,PHEV,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Domestic Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Domestic Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,Coal,Coal,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,PHEV,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,PHEV,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,International Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,International Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,PHEV,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,PHEV,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Passenger Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Passenger Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,wtt_co2e,Mt CO2-equiv/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
