# Data copied from SSP version 9 database (downloaded in 2014),,,,,,,,,,,,,,,,,,,,,,,,,
# Zeroes for Taiwan (TWN) replaced with UN population estimates for XEA region in 2000 and 2005 time periods,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP1_v9_130325,PRT,Population,million,10.336,10.544,10.676,10.818,10.951,11.074,11.197,11.325,11.448,11.55,11.624,11.668,11.687,11.665,11.591,11.443,11.242,11.01,10.735,10.424,10.087
OECD Env-Growth,SSP1_v9_130325,PRY,Population,million,5.344,5.898,6.455,6.93,7.351,7.714,8.011,8.258,8.448,8.577,8.65,8.674,8.653,8.592,8.493,8.354,8.175,7.959,7.71,7.435,7.118
OECD Env-Growth,SSP1_v9_130325,PSE,Population,million,3.199,3.556,4.039,4.434,4.744,4.962,5.093,5.159,5.169,5.13,5.049,4.939,4.8,4.664,4.531,4.403,4.278,4.158,4.042,3.925,3.801
OECD Env-Growth,SSP1_v9_130325,PYF,Population,million,0.238,0.255,0.271,0.285,0.297,0.308,0.316,0.322,0.326,0.329,0.329,0.328,0.325,0.321,0.316,0.309,0.302,0.294,0.284,0.273,0.262
OECD Env-Growth,SSP1_v9_130325,QAT,Population,million,0.591,0.821,1.759,2.3,2.541,2.767,2.977,3.175,3.344,3.475,3.563,3.611,3.625,3.602,3.54,3.442,3.318,3.178,3.013,2.832,2.643
OECD Env-Growth,SSP1_v9_130325,ROU,Population,million,22.192,21.772,21.486,21.121,20.705,20.235,19.717,19.187,18.627,18.008,17.317,16.564,15.758,14.909,14.032,13.147,12.278,11.442,10.597,9.782,9.009
OECD Env-Growth,SSP1_v9_130325,RUS,Population,million,146.758,143.843,142.958,142.36,141.243,139.667,137.807,136.159,134.63,132.918,130.788,128.355,125.733,122.747,119.382,115.575,111.316,106.778,102.158,97.559,92.534
OECD Env-Growth,SSP1_v9_130325,RWA,Population,million,8.098,9.202,10.624,12.019,13.376,14.639,15.813,16.988,18.123,19.136,19.982,20.676,21.244,21.715,22.079,22.318,22.431,22.434,22.336,22.14,21.839
OECD Env-Growth,SSP1_v9_130325,SAU,Population,million,20.045,24.041,27.448,30.915,34.274,37.433,40.373,43.193,45.787,48.023,49.823,51.222,52.238,52.811,52.95,52.676,52.042,51.109,49.925,48.374,46.472
OECD Env-Growth,SSP1_v9_130325,SDN,Population,million,34.188,38.41,43.552,48.481,53.171,57.441,61.619,65.74,69.84,73.654,77.031,80.01,82.544,84.636,86.231,87.248,87.656,87.466,86.792,85.769,84.439
OECD Env-Growth,SSP1_v9_130325,SEN,Population,million,9.506,10.872,12.434,13.824,15.038,16.123,17.074,17.936,18.649,19.17,19.506,19.71,19.814,19.863,19.837,19.731,19.547,19.296,18.986,18.624,18.219
OECD Env-Growth,SSP1_v9_130325,SGP,Population,million,3.919,4.266,5.086,5.518,5.706,5.876,6.027,6.163,6.273,6.346,6.378,6.37,6.326,6.233,6.093,5.897,5.656,5.378,5.055,4.701,4.333
OECD Env-Growth,SSP1_v9_130325,SLB,Population,million,0.409,0.47,0.538,0.596,0.647,0.693,0.734,0.771,0.802,0.826,0.842,0.854,0.859,0.86,0.856,0.847,0.832,0.814,0.79,0.764,0.734
OECD Env-Growth,SSP1_v9_130325,SLE,Population,million,4.143,5.153,5.868,6.518,7.164,7.789,8.367,8.918,9.415,9.837,10.187,10.469,10.689,10.84,10.917,10.918,10.848,10.713,10.522,10.281,9.999
OECD Env-Growth,SSP1_v9_130325,SLV,Population,million,5.94,6.051,6.193,6.271,6.287,6.233,6.123,5.985,5.822,5.635,5.425,5.202,4.967,4.745,4.533,4.329,4.131,3.937,3.736,3.528,3.318
OECD Env-Growth,SSP1_v9_130325,SOM,Population,million,7.399,8.36,9.331,10.167,10.87,11.495,12.045,12.522,12.869,13.055,13.109,13.054,12.938,12.805,12.667,12.501,12.317,12.119,11.909,11.691,11.467
OECD Env-Growth,SSP1_v9_130325,SRB,Population,million,10.134,9.856,9.856,9.77,9.703,9.66,9.62,9.58,9.534,9.463,9.361,9.232,9.072,8.852,8.577,8.251,7.885,7.493,7.064,6.599,6.115
OECD Env-Growth,SSP1_v9_130325,STP,Population,million,0.141,0.153,0.165,0.174,0.181,0.185,0.188,0.189,0.188,0.185,0.181,0.176,0.17,0.165,0.159,0.154,0.148,0.143,0.137,0.132,0.127
OECD Env-Growth,SSP1_v9_130325,SUR,Population,million,0.467,0.499,0.525,0.546,0.563,0.578,0.588,0.595,0.598,0.598,0.594,0.588,0.579,0.567,0.554,0.539,0.523,0.505,0.486,0.466,0.444
OECD Env-Growth,SSP1_v9_130325,SVK,Population,million,5.405,5.415,5.462,5.546,5.626,5.69,5.728,5.739,5.737,5.731,5.719,5.694,5.653,5.584,5.491,5.383,5.263,5.118,4.959,4.795,4.63
OECD Env-Growth,SSP1_v9_130325,SVN,Population,million,1.985,2.002,2.03,2.068,2.103,2.133,2.16,2.187,2.216,2.245,2.271,2.291,2.308,2.318,2.323,2.318,2.301,2.275,2.242,2.2,2.15
OECD Env-Growth,SSP1_v9_130325,SWE,Population,million,8.86,9.029,9.38,9.793,10.234,10.692,11.123,11.535,11.96,12.41,12.875,13.34,13.788,14.194,14.552,14.857,15.108,15.263,15.324,15.311,15.245
OECD Env-Growth,SSP1_v9_130325,SWZ,Population,million,1.064,1.105,1.186,1.254,1.32,1.375,1.417,1.453,1.482,1.504,1.519,1.526,1.525,1.515,1.496,1.47,1.438,1.401,1.361,1.318,1.273
OECD Env-Growth,SSP1_v9_130325,SYR,Population,million,15.989,18.484,20.411,22.101,23.697,25.184,26.497,27.641,28.553,29.225,29.691,30,30.157,30.172,30.034,29.747,29.311,28.714,27.877,26.82,25.507
OECD Env-Growth,SSP1_v9_130325,TCD,Population,million,8.222,9.786,11.227,12.676,14.191,15.725,17.169,18.562,19.83,20.948,21.907,22.717,23.385,23.932,24.355,24.654,24.831,24.89,24.832,24.659,24.38
OECD Env-Growth,SSP1_v9_130325,TGO,Population,million,4.794,5.408,6.028,6.594,7.168,7.708,8.185,8.617,8.993,9.307,9.559,9.749,9.876,9.945,9.956,9.91,9.81,9.663,9.472,9.243,8.98
OECD Env-Growth,SSP1_v9_130325,THA,Population,million,63.155,66.698,69.122,70.967,72.337,73.232,73.6,73.528,72.937,71.812,70.212,68.277,66.097,63.653,60.998,58.16,55.185,52.109,48.977,45.838,42.741
OECD Env-Growth,SSP1_v9_130325,TJK,Population,million,6.173,6.453,6.879,7.178,7.404,7.536,7.568,7.536,7.446,7.301,7.106,6.878,6.625,6.387,6.158,5.934,5.711,5.489,5.271,5.062,4.864
OECD Env-Growth,SSP1_v9_130325,TKM,Population,million,4.501,4.748,5.042,5.297,5.512,5.674,5.778,5.844,5.874,5.863,5.81,5.722,5.602,5.461,5.302,5.124,4.931,4.727,4.518,4.309,4.102
OECD Env-Growth,SSP1_v9_130325,TLS,Population,million,0.83,1.01,1.124,1.235,1.342,1.441,1.524,1.593,1.644,1.676,1.69,1.689,1.675,1.66,1.647,1.633,1.619,1.605,1.592,1.58,1.57
OECD Env-Growth,SSP1_v9_130325,TON,Population,million,0.098,0.101,0.104,0.105,0.106,0.106,0.105,0.103,0.1,0.097,0.093,0.089,0.084,0.081,0.077,0.074,0.071,0.069,0.066,0.064,0.061
OECD Env-Growth,SSP1_v9_130325,TTO,Population,million,1.292,1.315,1.341,1.356,1.358,1.347,1.328,1.302,1.269,1.229,1.181,1.128,1.072,1.015,0.956,0.896,0.837,0.778,0.722,0.668,0.615
OECD Env-Growth,SSP1_v9_130325,TUN,Population,million,9.456,9.912,10.481,10.965,11.374,11.685,11.886,12.012,12.08,12.087,12.02,11.879,11.665,11.382,11.045,10.666,10.255,9.823,9.383,8.919,8.431
OECD Env-Growth,SSP1_v9_130325,TUR,Population,million,63.628,68.143,72.752,76.638,79.81,82.381,84.354,85.917,86.99,87.477,87.35,86.697,85.601,84.126,82.299,80.128,77.647,74.928,72.045,69.045,65.655
OECD Env-Growth,SSP1_v9_130325,TZA,Population,million,34.038,38.831,44.841,50.609,56.306,61.977,67.357,72.578,77.362,81.523,85.019,87.938,90.308,92.206,93.607,94.515,94.955,94.946,94.484,93.555,92.162
OECD Env-Growth,SSP1_v9_130325,UGA,Population,million,24.213,28.431,33.425,38.474,43.748,49.244,54.832,60.596,66.235,71.526,76.371,80.819,84.828,88.382,91.402,93.868,95.798,97.216,98.115,98.484,98.334
OECD Env-Growth,SSP1_v9_130325,UKR,Population,million,48.892,46.924,45.448,44.093,42.808,41.677,40.691,39.839,39.074,38.302,37.482,36.619,35.731,34.732,33.621,32.392,31.057,29.657,28.24,26.836,25.339
OECD Env-Growth,SSP1_v9_130325,URY,Population,million,3.319,3.323,3.369,3.389,3.39,3.376,3.345,3.302,3.244,3.173,3.088,2.993,2.89,2.784,2.677,2.567,2.446,2.318,2.184,2.045,1.897
OECD Env-Growth,SSP1_v9_130325,USA,Population,million,282.496,296.82,310.384,323.217,336.722,350.417,363.686,376.515,388.801,400.246,411.058,421.549,431.955,441.826,450.962,459.138,465.256,468.963,470.602,469.81,466.507
OECD Env-Growth,SSP1_v9_130325,UZB,Population,million,24.776,25.947,27.445,28.684,29.701,30.42,30.824,31.024,31.044,30.871,30.487,29.917,29.19,28.377,27.491,26.532,25.504,24.423,23.323,22.236,21.184
OECD Env-Growth,SSP1_v9_130325,VCT,Population,million,0.108,0.109,0.109,0.109,0.108,0.107,0.106,0.104,0.101,0.098,0.095,0.092,0.088,0.085,0.081,0.077,0.074,0.07,0.066,0.063,0.059
OECD Env-Growth,SSP1_v9_130325,VEN,Population,million,24.348,26.664,28.98,30.966,32.684,34.161,35.378,36.379,37.123,37.604,37.829,37.834,37.634,37.233,36.642,35.872,34.938,33.832,32.48,30.93,29.237
OECD Env-Growth,SSP1_v9_130325,VNM,Population,million,78.758,83.161,87.848,92.035,95.483,97.876,99.299,100.092,100.235,99.623,98.224,96.15,93.552,90.581,87.295,83.712,79.855,75.684,71.091,66.325,61.35
OECD Env-Growth,SSP1_v9_130325,VUT,Population,million,0.185,0.211,0.24,0.264,0.288,0.309,0.327,0.345,0.359,0.371,0.38,0.387,0.391,0.393,0.392,0.389,0.384,0.377,0.367,0.356,0.343
OECD Env-Growth,SSP1_v9_130325,WSM,Population,million,0.177,0.18,0.183,0.183,0.183,0.181,0.176,0.171,0.164,0.157,0.149,0.141,0.132,0.125,0.119,0.113,0.108,0.104,0.1,0.096,0.091
OECD Env-Growth,SSP1_v9_130325,YEM,Population,million,17.723,20.649,24.053,27.602,31.057,34.252,37.183,40.016,42.694,45.093,47.099,48.727,49.988,50.946,51.606,51.953,51.99,51.738,51.227,50.482,49.524
OECD Env-Growth,SSP1_v9_130325,ZAF,Population,million,44.76,47.793,50.133,52.396,54.709,56.784,58.468,59.893,61.035,61.855,62.344,62.471,62.215,61.587,60.58,59.213,57.54,55.624,53.526,51.285,48.935
OECD Env-Growth,SSP1_v9_130325,ZMB,Population,million,10.202,11.462,13.089,14.72,16.395,18.073,19.711,21.355,22.904,24.276,25.457,26.487,27.384,28.164,28.801,29.289,29.635,29.846,29.921,29.858,29.655
OECD Env-Growth,SSP1_v9_130325,ZWE,Population,million,12.509,12.571,12.571,12.692,12.904,13.004,12.963,12.856,12.698,12.49,12.242,11.963,11.65,11.346,11.042,10.729,10.405,10.076,9.745,9.418,9.094
OECD Env-Growth,SSP1_v9_130325,AFG,Population,million,22.856,27.615,31.412,35.352,39.535,43.719,47.674,51.489,55.001,58.082,60.68,62.846,64.557,65.929,66.94,67.569,67.824,67.715,67.261,66.475,65.377
OECD Env-Growth,SSP1_v9_130325,AGO,Population,million,13.926,16.489,19.082,21.776,24.583,27.315,29.851,32.27,34.507,36.511,38.247,39.733,40.97,41.954,42.671,43.118,43.296,43.216,42.885,42.316,41.536
OECD Env-Growth,SSP1_v9_130325,ALB,Population,million,3.072,3.142,3.204,3.231,3.245,3.244,3.226,3.198,3.161,3.113,3.052,2.98,2.899,2.806,2.703,2.589,2.459,2.31,2.148,1.983,1.81
OECD Env-Growth,SSP1_v9_130325,ARE,Population,million,3.033,4.069,7.512,9.715,10.949,12.058,13.059,13.984,14.798,15.457,15.935,16.239,16.389,16.348,16.113,15.703,15.162,14.532,13.844,13.093,12.242
OECD Env-Growth,SSP1_v9_130325,ARG,Population,million,36.931,38.681,40.412,41.866,43.044,43.956,44.611,45.095,45.367,45.39,45.173,44.762,44.177,43.445,42.562,41.53,40.356,38.935,37.319,35.563,33.709
OECD Env-Growth,SSP1_v9_130325,ARM,Population,million,3.076,3.066,3.092,3.069,3.016,2.944,2.863,2.778,2.684,2.577,2.46,2.339,2.218,2.104,1.993,1.883,1.771,1.661,1.555,1.449,1.348
OECD Env-Growth,SSP1_v9_130325,AUS,Population,million,19.164,20.404,22.268,24.165,26.044,27.92,29.722,31.476,33.215,34.931,36.592,38.166,39.637,40.866,41.83,42.551,42.94,42.978,42.699,42.168,41.441
OECD Env-Growth,SSP1_v9_130325,AUT,Population,million,8.005,8.232,8.394,8.568,8.734,8.902,9.057,9.196,9.323,9.441,9.542,9.616,9.656,9.639,9.558,9.435,9.278,9.064,8.805,8.516,8.21
OECD Env-Growth,SSP1_v9_130325,AZE,Population,million,8.111,8.588,9.188,9.664,10.023,10.239,10.368,10.457,10.495,10.454,10.328,10.143,9.925,9.673,9.381,9.041,8.657,8.247,7.837,7.442,7.06
OECD Env-Growth,SSP1_v9_130325,BDI,Population,million,6.374,7.251,8.383,9.572,10.724,11.777,12.683,13.515,14.293,14.987,15.572,16.035,16.372,16.579,16.665,16.633,16.493,16.255,15.935,15.545,15.088
OECD Env-Growth,SSP1_v9_130325,BEL,Population,million,10.176,10.414,10.712,11.023,11.324,11.629,11.931,12.225,12.516,12.793,13.05,13.281,13.49,13.662,13.773,13.827,13.834,13.787,13.665,13.481,13.251
OECD Env-Growth,SSP1_v9_130325,BEN,Population,million,6.518,7.634,8.85,10.042,11.251,12.428,13.527,14.584,15.565,16.435,17.185,17.817,18.337,18.748,19.043,19.217,19.269,19.203,19.028,18.751,18.376
OECD Env-Growth,SSP1_v9_130325,BFA,Population,million,12.294,14.198,16.469,18.651,20.862,23.071,25.182,27.272,29.234,30.999,32.528,33.83,34.907,35.806,36.523,37.052,37.4,37.578,37.592,37.447,37.144
OECD Env-Growth,SSP1_v9_130325,BGD,Population,million,129.592,140.588,148.692,156.3,163.543,169.475,173.814,176.853,178.519,178.797,177.675,175.369,172.005,167.866,163.036,157.597,151.627,145.241,138.534,131.634,124.672
OECD Env-Growth,SSP1_v9_130325,BGR,Population,million,8.006,7.739,7.494,7.266,7.059,6.876,6.708,6.558,6.42,6.281,6.133,5.976,5.81,5.625,5.422,5.204,4.973,4.737,4.486,4.22,3.948
OECD Env-Growth,SSP1_v9_130325,BHR,Population,million,0.638,0.725,1.262,1.627,1.861,2.079,2.28,2.476,2.66,2.824,2.958,3.062,3.137,3.182,3.196,3.18,3.135,3.07,2.986,2.884,2.756
OECD Env-Growth,SSP1_v9_130325,ABW,Population,million,0.09,0.101,0.107,0.118,0.124,0.13,0.135,0.14,0.143,0.146,0.148,0.149,0.149,0.148,0.146,0.143,0.14,0.135,0.129,0.122,0.114
OECD Env-Growth,SSP2_v9_130325,BHS,Population,million,0.298,0.319,0.343,0.366,0.387,0.407,0.426,0.442,0.456,0.468,0.478,0.487,0.493,0.497,0.497,0.495,0.491,0.486,0.479,0.471,0.462
OECD Env-Growth,SSP2_v9_130325,BIH,Population,million,3.694,3.781,3.76,3.745,3.718,3.681,3.633,3.57,3.492,3.401,3.301,3.195,3.087,2.972,2.852,2.729,2.608,2.493,2.385,2.286,2.194
OECD Env-Growth,SSP2_v9_130325,BLR,Population,million,10.058,9.825,9.595,9.431,9.27,9.098,8.915,8.735,8.562,8.389,8.206,8.012,7.813,7.607,7.399,7.191,6.983,6.78,6.587,6.406,6.232
OECD Env-Growth,SSP2_v9_130325,BLZ,Population,million,0.251,0.281,0.312,0.34,0.365,0.386,0.403,0.418,0.431,0.44,0.448,0.453,0.456,0.457,0.458,0.457,0.456,0.454,0.452,0.45,0.449
OECD Env-Growth,SSP2_v9_130325,TWN,Population,million,21.936,22.728,23.019,23.47,23.614,23.656,23.569,23.269,22.712,21.937,21.006,19.985,19.193,19.334,19.35,19.25,19.043,18.729,18.27,17.694,17.026
OECD Env-Growth,SSP2_v9_130325,BOL,Population,million,8.307,9.147,9.93,10.647,11.34,12.001,12.603,13.13,13.585,13.963,14.271,14.495,14.646,14.745,14.803,14.819,14.79,14.731,14.654,14.567,14.468
OECD Env-Growth,SSP2_v9_130325,BRA,Population,million,174.425,185.987,194.946,203.15,210.743,217.42,222.819,226.941,229.841,231.531,231.868,230.802,228.665,225.548,221.581,216.853,211.583,205.939,200.123,194.262,188.415
OECD Env-Growth,SSP2_v9_130325,BRB,Population,million,0.268,0.271,0.273,0.276,0.279,0.28,0.281,0.28,0.277,0.273,0.268,0.261,0.255,0.248,0.241,0.233,0.226,0.218,0.21,0.202,0.195
OECD Env-Growth,SSP2_v9_130325,BRN,Population,million,0.327,0.363,0.399,0.433,0.466,0.498,0.527,0.555,0.58,0.604,0.627,0.647,0.664,0.676,0.683,0.685,0.683,0.678,0.671,0.66,0.648
OECD Env-Growth,SSP2_v9_130325,BTN,Population,million,0.571,0.659,0.726,0.797,0.869,0.939,1.006,1.069,1.129,1.186,1.239,1.284,1.321,1.347,1.364,1.372,1.371,1.362,1.347,1.328,1.305
OECD Env-Growth,SSP2_v9_130325,BWA,Population,million,1.758,1.876,2.007,2.13,2.242,2.34,2.428,2.511,2.589,2.663,2.736,2.805,2.872,2.923,2.954,2.964,2.957,2.931,2.89,2.834,2.762
OECD Env-Growth,SSP2_v9_130325,CAF,Population,million,3.702,4.018,4.401,4.818,5.259,5.686,6.097,6.479,6.834,7.147,7.414,7.642,7.825,7.96,8.052,8.099,8.111,8.092,8.042,7.973,7.886
OECD Env-Growth,SSP2_v9_130325,CAN,Population,million,30.667,32.283,34.017,35.858,37.764,39.641,41.384,42.992,44.54,46.068,47.585,49.053,50.465,51.7,52.762,53.647,54.322,54.757,54.945,54.831,54.424
OECD Env-Growth,SSP2_v9_130325,CHE,Population,million,7.168,7.415,7.664,7.9,8.101,8.312,8.519,8.709,8.879,9.033,9.172,9.289,9.384,9.44,9.467,9.47,9.45,9.407,9.322,9.197,9.041
OECD Env-Growth,SSP2_v9_130325,CHL,Population,million,15.42,16.302,17.114,17.87,18.567,19.181,19.686,20.071,20.338,20.495,20.534,20.489,20.369,20.175,19.917,19.602,19.232,18.812,18.354,17.877,17.371
OECD Env-Growth,SSP2_v9_130325,CHN,Population,million,1269.117,1307.593,1341.335,1363.42,1379.229,1385.145,1380.651,1365.275,1339.587,1305.12,1263.138,1215.403,1163.794,1110.444,1057.146,1004.276,951.828,900.636,852.319,807.864,767.275
OECD Env-Growth,SSP2_v9_130325,CIV,Population,million,16.582,18.021,19.738,21.463,23.152,24.71,26.179,27.548,28.757,29.772,30.619,31.283,31.801,32.237,32.563,32.788,32.912,32.935,32.904,32.797,32.655
OECD Env-Growth,SSP2_v9_130325,CMR,Population,million,15.678,17.554,19.599,21.659,23.654,25.516,27.315,29.037,30.621,31.978,33.156,34.164,34.971,35.597,36.069,36.409,36.583,36.602,36.47,36.252,35.925
OECD Env-Growth,SSP2_v9_130325,COD,Population,million,49.626,57.421,65.966,75.413,85.771,96.614,107.35,117.678,127.427,136.789,145.719,153.864,160.929,167.188,172.54,177.04,180.711,183.406,185.387,186.604,187.015
OECD Env-Growth,SSP2_v9_130325,COG,Population,million,3.136,3.533,4.043,4.561,5.077,5.58,6.08,6.571,7.032,7.446,7.823,8.161,8.454,8.7,8.902,9.063,9.172,9.231,9.242,9.216,9.153
OECD Env-Growth,SSP2_v9_130325,COL,Population,million,39.764,43.041,46.295,49.332,52.233,54.915,57.328,59.422,61.225,62.735,63.9,64.733,65.297,65.565,65.588,65.372,64.912,64.23,63.408,62.472,61.436
OECD Env-Growth,SSP2_v9_130325,COM,Population,million,0.562,0.643,0.735,0.822,0.901,0.975,1.048,1.12,1.187,1.243,1.287,1.323,1.353,1.379,1.4,1.415,1.424,1.427,1.425,1.42,1.412
OECD Env-Growth,SSP2_v9_130325,CPV,Population,million,0.437,0.473,0.496,0.516,0.533,0.547,0.559,0.567,0.572,0.574,0.573,0.569,0.561,0.554,0.546,0.538,0.529,0.521,0.513,0.507,0.502
OECD Env-Growth,SSP2_v9_130325,CRI,Population,million,3.919,4.309,4.659,5.001,5.326,5.63,5.911,6.162,6.387,6.577,6.736,6.865,6.965,7.023,7.038,7.01,6.949,6.856,6.739,6.604,6.455
OECD Env-Growth,SSP2_v9_130325,CUB,Population,million,11.104,11.254,11.258,11.19,11.083,10.92,10.695,10.405,10.056,9.651,9.192,8.689,8.157,7.631,7.138,6.69,6.286,5.914,5.568,5.249,4.96
OECD Env-Growth,SSP2_v9_130325,CYP,Population,million,0.943,1.033,1.104,1.177,1.248,1.316,1.377,1.433,1.484,1.533,1.579,1.618,1.65,1.668,1.674,1.668,1.653,1.63,1.601,1.569,1.533
OECD Env-Growth,SSP2_v9_130325,CZE,Population,million,10.243,10.221,10.493,10.76,10.972,11.154,11.292,11.387,11.478,11.589,11.704,11.794,11.841,11.81,11.719,11.595,11.46,11.325,11.183,11.029,10.856
OECD Env-Growth,SSP2_v9_130325,DEU,Population,million,82.349,82.541,82.302,82.124,81.91,81.683,81.357,80.914,80.367,79.715,78.932,78.02,77.069,76.013,74.934,73.816,72.604,71.267,69.827,68.303,66.528
OECD Env-Growth,SSP2_v9_130325,DJI,Population,million,0.732,0.808,0.889,0.968,1.045,1.116,1.182,1.241,1.294,1.34,1.378,1.406,1.427,1.44,1.447,1.448,1.444,1.437,1.425,1.411,1.395
OECD Env-Growth,SSP2_v9_130325,DNK,Population,million,5.34,5.419,5.55,5.679,5.806,5.946,6.087,6.218,6.338,6.454,6.574,6.699,6.825,6.941,7.047,7.141,7.225,7.296,7.354,7.398,7.426
OECD Env-Growth,SSP2_v9_130325,DOM,Population,million,8.592,9.264,9.927,10.522,11.066,11.561,12.006,12.388,12.696,12.944,13.132,13.246,13.295,13.295,13.263,13.192,13.082,12.937,12.772,12.591,12.395
OECD Env-Growth,SSP2_v9_130325,DZA,Population,million,30.534,32.888,35.468,38.053,40.528,42.713,44.519,46.063,47.437,48.64,49.525,50.017,50.132,49.977,49.609,49.103,48.487,47.791,47.08,46.356,45.601
OECD Env-Growth,SSP2_v9_130325,ECU,Population,million,12.345,13.426,14.465,15.435,16.347,17.204,17.974,18.653,19.24,19.717,20.089,20.351,20.508,20.592,20.611,20.561,20.447,20.266,20.032,19.751,19.452
OECD Env-Growth,SSP2_v9_130325,EGY,Population,million,67.648,74.203,81.121,88.084,94.75,100.949,106.685,112,116.868,121.202,124.861,127.969,130.529,132.497,133.778,134.387,134.519,134.22,133.577,132.54,131.239
OECD Env-Growth,SSP2_v9_130325,ERI,Population,million,3.668,4.486,5.254,6.091,6.926,7.727,8.539,9.373,10.193,10.952,11.634,12.243,12.791,13.272,13.686,14.011,14.252,14.4,14.472,14.47,14.393
OECD Env-Growth,SSP2_v9_130325,ESP,Population,million,40.288,43.395,46.077,47.812,48.769,49.533,50.208,50.924,51.675,52.327,52.76,52.921,52.845,52.529,52.081,51.556,50.965,50.331,49.602,48.743,47.759
OECD Env-Growth,SSP2_v9_130325,EST,Population,million,1.371,1.346,1.341,1.335,1.325,1.312,1.297,1.283,1.273,1.266,1.259,1.251,1.241,1.228,1.216,1.203,1.19,1.176,1.162,1.148,1.133
OECD Env-Growth,SSP2_v9_130325,ETH,Population,million,65.578,74.264,82.95,92.596,103.021,113.691,123.971,133.596,142.61,151.068,158.829,165.904,172.13,177.361,181.728,185.219,187.822,189.694,190.76,191.231,191.006
OECD Env-Growth,SSP2_v9_130325,FIN,Population,million,5.173,5.244,5.365,5.493,5.617,5.738,5.845,5.934,6.012,6.09,6.176,6.269,6.366,6.457,6.541,6.617,6.684,6.74,6.786,6.816,6.824
OECD Env-Growth,SSP2_v9_130325,FJI,Population,million,0.812,0.823,0.861,0.897,0.925,0.945,0.96,0.971,0.975,0.974,0.97,0.96,0.947,0.934,0.92,0.906,0.891,0.876,0.86,0.844,0.828
OECD Env-Growth,SSP2_v9_130325,FRA,Population,million,60.913,63.011,64.935,66.97,69.002,71.006,72.94,74.789,76.517,78.074,79.46,80.728,81.928,83.014,84.005,84.892,85.635,86.203,86.45,86.434,86.195
OECD Env-Growth,SSP2_v9_130325,GAB,Population,million,1.235,1.371,1.505,1.634,1.759,1.877,1.982,2.075,2.158,2.229,2.288,2.336,2.375,2.402,2.415,2.417,2.41,2.393,2.37,2.339,2.304
OECD Env-Growth,SSP2_v9_130325,GBR,Population,million,58.874,60.203,62.036,64.178,66.209,68.191,70.037,71.75,73.396,75.026,76.592,78.043,79.367,80.509,81.528,82.448,83.235,83.856,84.308,84.611,84.724
OECD Env-Growth,SSP2_v9_130325,GEO,Population,million,4.746,4.477,4.352,4.258,4.134,3.992,3.842,3.693,3.543,3.387,3.226,3.065,2.912,2.772,2.645,2.528,2.419,2.322,2.238,2.169,2.11
OECD Env-Growth,SSP2_v9_130325,GHA,Population,million,19.165,21.64,24.392,27.248,30.161,33.061,35.931,38.764,41.5,44.057,46.376,48.418,50.26,51.924,53.389,54.66,55.682,56.487,57.046,57.397,57.597
OECD Env-Growth,SSP2_v9_130325,GIN,Population,million,8.344,9.041,9.982,10.897,11.778,12.604,13.356,14.03,14.613,15.099,15.48,15.75,15.937,16.108,16.255,16.382,16.47,16.528,16.556,16.571,16.576
OECD Env-Growth,SSP2_v9_130325,GMB,Population,million,1.297,1.504,1.728,1.959,2.185,2.4,2.601,2.794,2.976,3.137,3.273,3.386,3.482,3.566,3.64,3.7,3.749,3.785,3.814,3.831,3.838
OECD Env-Growth,SSP2_v9_130325,GNB,Population,million,1.241,1.368,1.515,1.665,1.811,1.948,2.074,2.195,2.307,2.405,2.488,2.556,2.61,2.652,2.684,2.705,2.713,2.707,2.693,2.673,2.649
OECD Env-Growth,SSP2_v9_130325,GNQ,Population,million,0.52,0.608,0.7,0.799,0.901,1.001,1.097,1.191,1.28,1.365,1.443,1.516,1.583,1.641,1.689,1.728,1.757,1.776,1.785,1.783,1.774
OECD Env-Growth,SSP2_v9_130325,GRC,Population,million,10.987,11.183,11.359,11.449,11.43,11.402,11.379,11.366,11.351,11.317,11.248,11.146,11.022,10.864,10.686,10.494,10.296,10.093,9.891,9.68,9.442
OECD Env-Growth,SSP2_v9_130325,GTM,Population,million,11.237,12.717,14.389,15.988,17.505,18.98,20.401,21.724,22.911,23.999,24.965,25.812,26.512,27.143,27.699,28.142,28.486,28.718,28.866,28.921,28.893
OECD Env-Growth,SSP2_v9_130325,GUY,Population,million,0.733,0.746,0.754,0.763,0.774,0.782,0.782,0.777,0.766,0.75,0.732,0.712,0.688,0.666,0.645,0.625,0.607,0.589,0.573,0.558,0.546
OECD Env-Growth,SSP2_v9_130325,HKG,Population,million,6.783,6.81,7.053,7.361,7.647,7.943,8.253,8.551,8.818,9.058,9.267,9.438,9.577,9.647,9.655,9.606,9.502,9.346,9.117,8.829,8.496
OECD Env-Growth,SSP2_v9_130325,HND,Population,million,6.218,6.879,7.601,8.28,8.924,9.522,10.061,10.551,10.987,11.356,11.659,11.906,12.096,12.238,12.331,12.377,12.389,12.364,12.306,12.22,12.122
